"Firma";"Website";"Bedarf";"DL Beschreibung";"Geschäftsführung";"Gefundene E-Mails";"GF-Mail (belegt/rekonstruiert)";"Hinweis"
"RedOrbit GmbH";"https://www.redorbit.ai/";"Vielleicht";"• KI-Agentur in Muenchen
• KI-Entwicklung, -Beratung, -Schulung und -Automation
• Loesungen: KI-Analytik, Content-Erstellung, Chatbots, Web-Scraping
• Prozessoptimierung durch Automatisierung";"Christian Heyer";"info@redorbit.ai; info@redorbit.de";"";"Impressum-Mail verschleiert 'info (at) redorbit (punkt) ai' dekodiert. Nur generische Mails."
"Referenta GmbH";"https://ki-verband.de/community/ki-unternehmen/";"Vielleicht";"• Berliner Unternehmen fuer Softwareentwicklung und -vertrieb
• Mitglied im KI-Bundesverband (AI Techstack)
• Fokus auf Entwicklung von Software
• Weitere Details oeffentlich kaum verfuegbar";"Marc Franck";"info@referenta.de";"";"Firmen-Website ist referenta.de (Batch-URL war KI-Verband-Verzeichnis). GF/CEO und Mail aus /impressum. Nur generische Mail."
"Renumics GmbH";"http://www.renumics.com/";"Ja";"• Agentic-AI-Plattform fuer Ingenieurdaten
• Produkte: Onion (KI-Analyse von Sensordaten), Spotlight (Open-Source-Visualisierung unstrukturierter Datensaetze)
• Engineering Data Management und ML-Anwendungen
• Kunden: VW, Mercedes-Benz, Bosch, Festool";"Dr. Stefan Suwelack";"info@renumics.com";"";"Impressum unter /legal-notice. Nur generische Mail."
"REQBEE GmbH";"https://reqbee.com/";"Vielleicht";"• SAP-Beratung fuer Finanzen, Controlling und Treasury (FI/CO, TRM, PS)
• Implementierungen, Migrationen, Prozessoptimierung
• KI-Produkt: SAP Assistant fuer Expertenauskuenfte
• Automation Agents fuer Closing, Projektcontrolling, Treasury";"Dr. Maria Kopf (CEO)";"contact@reqbee.com";"";"Impressum unter /imprint/. Nur generische Mail."
"Resourcly GmbH";"https://resourcly.com/";"Vielleicht";"• KI-gestuetzte Software fuer Fertigungsbetriebe
• Parts Intelligence Platform zur Erkennung von Teile-Redundanzen
• KI-Datenintegration von PLM- und ERP-Systemen
• Lieferanten-Netzwerk fuer austauschbare Teile";"Helena Most, MBA";"welcome@resourcly.com";"";"Impressum unter /imprint. Nur generische Mail."
"Rethinking Job GmbH";"https://rethinkingjob.com/";"Vielleicht";"• Muenchner Startup, Produkt Luca (digitaler Work Buddy)
• KI-gestuetzte 1:1-Dialoge mit Mitarbeitenden in Teams/Slack/Google Chat
• Handlungsempfehlungen fuer Fuehrungskraefte
• Coaching- und Beratungsleistungen";"Stefan Wickenhäuser";"info@rethinkingjob.com; stefan@rethinkingjob.com; ayo@rethinkingjob.com";"stefan@rethinkingjob.com";"GF-Mail woertlich auf /kontakt belegt (Muster vorname@)."
"Retorio GmbH";"http://www.retorio.com/";"Ja";"• KI-Plattform fuer Behavioral Intelligence (Muenchen, TUM-Ausgruendung)
• Analyse von Mimik, Koerpersprache und Stimme in Video-Interviews
• KI-Coaching-Plattform fuer Vertrieb, Fuehrung und Service
• Personalisiertes Feedback und Eignungsanalyse";"Dr. Patrick Oehler";"contact@retorio.com";"";"Impressum unter /imprint. Nur generische Mail."
"RevoAI GmbH";"https://www.revoai.de/";"Ja";"• KI-Software (ML) fuer automatisiertes Testen autonomer Fahrzeuge
• Tool FastLoop+AutoTestReduction zur Szenariogenerierung
• Unsupervised Learning und Reinforcement-basierte Testoptimierung
• Toolchain fuer Compliance von Engineering-Teams (Karlsruhe)";"";"";"";"Nicht erreichbar: Domain revoai.de ist geparkt/zum Verkauf (Sedo Sales-Lander). Keine Firmeninhalte."
"Rhesis AI GmbH";"https://www.rhesisi.ai/";"Ja";"• Open-Source-Test- und Evaluationsplattform für LLM- und Agenten-Anwendungen
• Generiert automatisch Testszenarien, adversariale Prompts und Edge-Cases aus Anforderungen
• Red-Teaming-Agent (Polyphemus) prüft auf Jailbreaks, Prompt-Injection, PII-Extraktion
• Bewertung mit 60+ Metriken, Failure-Tracing via OpenTelemetry";"Dr. Nicolai Bohn (Managing Director)";"hello@rhesis.ai";"";"Korrekte Domain ist rhesis.ai (Batch-URL rhesisi.ai nicht erreichbar). Impressum JS-gerendert; GF und Mail aus dem JS-Bundle der /imprint-Seite belegt. Nur generische Mail."
"rlvnt GmbH";"https://rlvnt.de/";"Vielleicht";"• KI- und Kommunikationsberatung aus Hannover
• Entwicklung von KI-Assistenten, Workflows und Datenmanagement
• Strategische Kommunikation, Krisen- und Change-Kommunikation, PR
• Generative-AI-Optimierung und Schulungen";"Matthias Biebl, Katharina Biebl";"hallo@rlvnt.de";"";"GF einzelvertretungsberechtigt. Nur generische Mail."
"RN Edge Solutions GmbH (Quantum Voice)";"https://quantumvoice.de/";"Ja";"• KI-Telefonassistenten, die eingehende Anrufe autonom bearbeiten
• Sprachagent 'Lea': FAQ, Terminbuchung, Rückruf-Tickets, Anruf-Routing
• Über 100 Sprachen, Wissensbasis-Integration, CRM-/Kalender-Anbindung
• Betrieb als Full-Service: Beratung, Integration, Betrieb, Analytics";"Robert Steko, Noah Karrer";"info@quantumvoice.de";"";"Nur generische Mail."
"kineo.ai";"https://kineo.ai/";"Ja";"• Berliner KI-Beratung für individuelle Machine-Learning-Lösungen
• Von Use-Case-Findung über Implementierung bis MLOps-Infrastruktur
• Branchen: Finanzen, Luftfahrt, Fertigung, Energie, Digital Health
• Entwicklung maßgeschneiderter ML-/KI-Modelle";"";"contact@enaovision.com";"";"Kineo wurde zu 'Enao Vision' umbenannt (jetzt enaovision.com). Impressum nennt keinen Geschaeftsfuehrer, nur Mail contact@enaovision.com."
"robominds GmbH";"https://www.robominds.de/";"Ja";"• KI-Lösungen für industrielle Robotik (München)
• Plattform robobrain® mit 2D/3D-Vision, intelligentem Greifen und KI-Skills
• Anwendungen: Bin-Picking, Depalettierung, Paketvereinzelung, Lagerautomatisierung
• Roboter lernen aus Beispielen statt aufwändiger Programmierung";"Tobias Rietzler, Andreas Däubler";"info@robominds.de";"";"Impressum unter /footer/impressum. Nur generische Mail."
"RS AlphaSense GmbH";"https://www.rubinstein-schmiedel.com/";"Vielleicht";"• Softwareentwicklung für automatisierte KI-gestützte Finanzmarktanalyse
• Bereitstellung von Diensten für verbundene Unternehmen
• IT-Infrastrukturbetrieb, IT-Beratung, Marketing und Vertrieb
• Geleitet von Kirill Rubinstein und Thomas Schmiedel (München)";"";"";"";"Website nicht erreichbar (Domain/DNS nicht auflösbar, HTTP 000)."
"RUBINLAKE GmbH";"https://rubinlake.com/";"Vielleicht";"• B2B-Plattform für Lead-Generierung und Vertriebsautomation
• Verifizierte Kontaktdaten, Targeting, Company Insights, LinkedIn-Extension
• Zusätzlich KI-Trainings und KI-Implementierung in Geschäftsprozesse
• DSGVO- und EU-AI-Act-konform, in Deutschland gehostet";"Maxim Babarinow";"contact@rubinlake.com; support@rubinlake.com; talents@rubinlake.com";"";"Impressum unter /imprint. Nur generische Mails, keine persönliche GF-Mail und kein Personenmuster belegt."
"SABO Mobile IT GmbH";"https://www.saboit.de/";"Ja";"• Maßgeschneiderte Software und KI für Industrie und Medizingeräte
• KI-Agenten zur Analyse industrieller Prozesse und Automatisierung
• Eigene Plattformen SABOT (Mensch-Maschine-Dialog) und SenseDrive.ai
• Natural-Language-Interfaces, IoT-Monitoring; Kunden wie Audi, VW, Daimler";"Josef Mladen Sabo, Thomas Sykora";"info@saboit.de";"";"Impressum unter /en/imprint. Nur info@-Mail, kein Personenmuster belegt."
"Safira GmbH";"https://safira.ai/";"Vielleicht";"• KI-Softwareanbieter für eCommerce und Vertrieb
• Safira for eCommerce: automatisierte Optimierung von Produktinhalten
• Safira for Sales: KI-gesteuerte digitale Vertreter (AI BDRs/SDRs)
• Integration in E-Commerce-Systeme und mehrstufige Verkaufskanäle";"Andreas Anding";"go@safira.ai";"";"Nur generische Mail go@safira.ai, kein Personenmuster belegt."
"saypien UG";"https://www.saypien.io/";"Vielleicht";"• KI-basierte SaaS-Plattform für Markt- und Meinungsforschung
• Erstellung und Durchführung von Umfragen, Datenspeicherung und -analyse
• Agentischer, modularer, domänenbewusster Intelligenz-Layer
• Verarbeitet heterogene Daten und liefert entscheidungsreife Empfehlungen";"Leon Sperber, Kolja Eckart";"support@saypien.io";"";"Impressum unter /imprint. Nur support@-Mail, kein Personenmuster belegt."
"Scala Value GmbH";"https://www.scala-value.com/";"Vielleicht";"• KI-basierte Support-Lösungen für kleine und mittlere Unternehmen
• Automatisierung wiederkehrender Anfragen zur Entlastung kleiner Teams
• Modular einsetzbar und mit dem Bedarf skalierbar
• Schnelle erste Ergebnisse ohne eigene IT-Abteilung";"Victor Wiedermann";"info@scala-value.com; vw@scala-value.com";"vw@scala-value.com";"vw@scala-value.com steht wörtlich im Impressum und entspricht den Initialen des GF Victor Wiedermann."
"Scavenger AI GmbH";"https://www.scavenger-ai.com/";"Vielleicht";"• KI-gestützte Business-Intelligence-Plattform (Frankfurt)
• Datenabfrage in natürlicher Sprache ohne Programmierkenntnisse
• Anbindung an ERP-, CRM- und SQL-Systeme, Datenbereinigung
• Statistische Modelle zur Muster- und Trenderkennung, Visualisierungen";"Felix Beissel, Maximilian Hahnenkamp";"";"";"Impressum unter /imprint; E-Mail per Cloudflare-Schutz verschleiert (nicht extrahierbar). Kontaktseite nur Formular."
"Schönhofer Sales and Engineering GmbH";"https://www.schoenhofer.de/";"Ja";"• Beratung und Advanced-Analytics-Lösungen für öffentliche und Firmenkunden
• Predictive Big Data Analytics, Complex Event Prediction (TARAN Suite)
• Cyber Defence, Systems Engineering, Sensordaten-Integration
• Tochter von Rohde & Schwarz";"Frank Schrudde";"info@schoenhofer.de; datenschutz@schoenhofer.de";"";"Nur funktionale Mails, kein Personenmuster belegt."
"scieneers GmbH";"https://www.scieneers.de/";"Ja";"• Data Science, Data Engineering und Business Intelligence
• Entwicklung kundenspezifischer KI-Modelle, ML und Predictive Analytics
• Fokus auf Large Language Models und generative KI
• Datenplattformen, Data Warehouses, Training und Beratung";"Patrick Thoma";"info@scieneers.de";"";"Nur info@-Mail (hiscox.info@hiscox.de auf Seite gehört zum Versicherer, nicht zur Firma). Kein Personenmuster belegt."
"Scriptbakery AI";"https://www.scriptbakery.de/";"Ja";"• KI für Natural Language Understanding und Emotionsanalyse
• Linguistische Analyse auf Basis von über 100 sprachlichen Merkmalen
• Automatisiert Manuskript-Screening und -Bewertung für Verlage/Medien
• Bewertet Lesbarkeit, Zielgruppe, Korrekturaufwand, Plot-Zusammenfassung";"Jonas N. Al-Nemri";"hallo@scriptbakery.de";"";"Impressum unter /imprint. Nur hallo@-Mail, kein Personenmuster belegt."
"ScriptOne Solutions UG";"https://scriptone-solutions.de/";"Vielleicht";"• Full-Service-Softwareentwicklung und App-Agentur (Frankfurt)
• Individuelle Web- und Mobile-Anwendungen, MVP-Entwicklung
• KI-Lösungen mit Fokus auf RAG (Retrieval-Augmented Generation)
• Neos CMS, Magento-Integration, Team in Goa/Indien";"Hrishikesh Lele";"sales@scriptone-solutions.de";"";"Impressum unter /en/agency/impressum.html. Nur sales@-Mail, kein Personenmuster belegt."
"Seedbox Ventures GmbH";"https://seedbox-ventures.com/";"Ja";"• Europäisches KI-Labor (seedbox.ai) mit Fokus auf souveräne, DSGVO-konforme KI
• AI-Consulting, Prototyping und produktionsreife KI-Entwicklung (Co-Pilots, Agenten)
• Forschung an eigenen mehrsprachigen Modellen und High-Performance Computing
• Partner u.a. SAP und HLRS";"";"";"";"Website offline – Squarespace-Konto abgelaufen ('Dieses Konto ist abgelaufen'). Kein Impressum abrufbar."
"Sensape GmbH";"https://www.sensape.com/";"Ja";"• KI-gestützte Augmented-Reality-Lösungen für Retail und Events
• Echtzeit-Erkennung von Demografie, Emotionen und Produkten (Computer Vision)
• Interactive AI Avatars, WebAR-Filter, Recognition Box
• Digitalisierte Verkaufs- und Promotion-Prozesse am POS";"Artur Lohrer, Matthias Freysoldt";"hallo@sensape.com; hello@sensape.com; support@sensape.com";"";"hallo@ im Impressum verschleiert ('hallo [at] sensape [dot] com'), hello@/support@ aus schema.org. Nur generische Mails, kein Personenmuster belegt."
"senswork GmbH";"https://senswork.com/";"Ja";"• Industrielle Bildverarbeitung und Qualitätssicherung (Machine Vision)
• 2D/3D-Mess- und Prüftechnik, Oberflächen- und Label-Inspektion
• Eigene Produkte ZScan, VisionCommander und Deep-Learning-Lösung Neuralyze
• Robotic Vision für kameragesteuerte Robotik";"Rainer Obergrussberger";"info@senswork.com; andreas.koenig@senswork.com; markus.schatzl@senswork.com; r.obergrussberger@senswork.com; roman.rieger@senswork.com; marketing@senswork.com; karriere@senswork.com; anfragen@senswork.com; support@senswork.com";"r.obergrussberger@senswork.com";"GF Rainer Obergrussberger laut /unternehmen. r.obergrussberger@senswork.com steht wörtlich auf der Kontaktseite (Muster v.nachname@)."
"Signatrix GmbH";"https://signatrix.com/";"Ja";"• KI-Software für den stationären Einzelhandel (AI Suite)
• Computer Vision auf bestehenden Überwachungskameras
• Diebstahlprävention, Kundenfluss- und In-Store-Analyse
• Kunden in 28 Ländern (u.a. Edeka, Tesco)";"Philipp Müller, Daniel Höpfner";"info@signatrix.com";"";"Nur info@-Mail, kein Personenmuster belegt."
"Sikom Software GmbH";"https://www.sikom.de/";"Vielleicht";"• Deutscher Hersteller von Premium-Contact-Center-Software (AgentOne)
• Omnichannel-Orchestrierung: Voice, Chat, Video, Routing
• 25+ Jahre Erfahrung, Fokus Versicherungen/Krankenkassen
• Sprach- und Dialoglösungen für komplexe Kundenkommunikation";"Frank Heintz, Jürgen H. Hoffmeister, Natascha Hoffmeister";"info@sikom.de";"";"Nur info@-Mail, kein Personenmuster belegt."
"SKOPOS ELEMENTS";"https://www.skopos-elements.de/";"Vielleicht";"• Human-Centered Data Science und KI-Beratung
• Maßgeschneiderte Data-Analytics- und KI-Lösungen
• Dateninfrastruktur, Reporting und Datenvisualisierung
• Teil der SKOPOS GROUP (Marktforschung)";"Olaf Hofmann, Thomas Starsetzki, Dr. Christopher Harms, Sebastian Schmidt";"hallo@skopos-elements.de";"";"Nur hallo@-Mail, kein Personenmuster belegt."
"SMA Development GmbH";"https://sma-dev.de/";"Vielleicht";"• Individuelle Softwareentwicklung und Digitalisierung
• Data Science / KI über die Unit epicinsights
• Machine-Learning-Modelle zur Nutzer- und Kampagnenprognose
• E-Commerce, Marketing- und Prozessautomatisierung";"Michael Mörs";"info@sma-dev.de";"";"Nur info@-Mail, kein Personenmuster belegt."
"SNAIC GmbH";"https://www.snaic.ai/";"Ja";"• KI-SaaS-Plattform zur Optimierung von Produktdaten
• Automatisierte Bereinigung, Vereinheitlichung und Strukturierung
• Quality-Checks für Fehler und Inkonsistenzen
• DSGVO-konform, für den Mittelstand";"Carsten Robitzki";"info@snaic.ai";"";"Nur info@-Mail, kein Personenmuster belegt."
"SnipClip die digitale Fabrik GmbH";"https://snipclip.com/";"Vielleicht";"• Digitalagentur aus München (500+ Projekte)
• UI/UX-Design, Entwicklung, Projektmanagement, Consulting
• Digitale Produkte, MVPs, Portale und Websites
• Angebote im Bereich Digitalisierung und KI";"Cordula Lochmann";"info@snipclip.com";"";"GF aus Impressum. Nur info-Adresse, keine persoenliche Mail/Muster belegbar."
"Sodefa GmbH & Co. KG";"https://sodefa.de/";"Vielleicht";"• Full-Service-Softwareagentur aus Leverkusen
• Web-Design, Web- und KI-Entwicklung, IT-Support
• KI-Integrationen (OpenAI/ChatGPT)
• TMS-Lösung Freightly für die Logistik";"Johannes Schuldt";"hello@sodefa.de; datenschutz@sodefa.de";"";"Impressum unter /imprint. Nur rollenbasierte Mails, kein Muster fuer GF belegbar."
"SolaVieve Technologies GmbH";"https://solavieve.com/de/homepage-de/";"Vielleicht";"• Digital-Health- und Wellness-Plattform aus Heidelberg
• Kombination aus KI, Telemedizin und Gesundheitscoaching
• Virtuelle Coachings, Praktiker-Konsultationen, Gesundheitsbildung
• Betriebliche Gesundheitsprogramme für Unternehmen";"Joshua Luckow, Nicole Huber";"info@solavieve.com";"";"Managing Directors aus /imprint. Nur info-Adresse belegbar."
"Sozial KI UG";"https://www.sozial-ki.de/";"Vielleicht";"• KI-Assistenzsystem SoKI für soziale Organisationen
• Schreibassistenz für Sozialberichte und Anträge
• Wissensspeicher/RAG für organisationsinterne Fragen
• Auf Open-Source-Modellen, DSGVO-/KI-VO-konform, deutsches Hosting";"Philipp Engelsberg, Theodor Schoewitz, Niclas Hoehl";"info@sozial-ki.de";"";"GF aus Impressum. Nur info-Adresse belegbar."
"Speed4Trade GmbH";"https://www.intellifant.com/";"Vielleicht";"• KI-SaaS für E-Commerce-Risikomanagement (INTELLIFANT)
• Automatische Anomalieerkennung im Auftragseingang
• Multi-Channel-Überwachung von Shops und Marktplätzen
• KI-Insights zu Auftragseinbrüchen und -spitzen";"Sandro Kunz, Stefan Sommer";"info@speed4trade.com; contact@speed4trade.com; sandro.kunz@speed4trade.com; stefan.sommer@speed4trade.com; beschwerdestelle-agg@speed4trade.com";"sandro.kunz@speed4trade.com";"intellifant.com ist Produktseite; persoenliche GF-Mails woertlich aus Haupt-Impressum speed4trade.com/impressum belegt (Muster vorname.nachname@)."
"Spleenlab GmbH";"https://www.spleenlab.ai/";"Ja";"• Next-Gen KI-Software für autonome Systeme
• Wahrnehmung, Navigation und Sicherheit für Drohnen/Fahrzeuge
• Sensorfusion und Computer Vision
• Sicherheitskritische KI-Lösungen";"Dr. Stefan Milz, Tobias Ruediger";"contact@spleenlab.ai";"";"Managing Directors aus /legal-notice. Nur contact-Adresse belegbar."
"Splitbot GmbH";"https://splitbot.de/";"Ja";"• KI-Chatbot ""Kosmo"" und digitale Mitarbeiter (Delta, Omega, Sigma)
• Automatisierte Verarbeitung von E-Mails, Anhängen und Dokumenten
• Dokumentenerkennung, -sortierung und -ablage (OCR/Dokumenten-KI)
• AIaaS für interne Verwaltungsprozesse, kontinuierlich lernend
• Tochter der Kontor Business IT GmbH, Lübeck";"Tadeusz Nikitin, Friedrich Wehrmann";"hello@splitbot.ai";"";"GF aus Impressum. Nur hello-Adresse belegbar."
"SquareNeo Solutions GmbH";"https://www.squareneo.de/";"Vielleicht";"• SaaS-Plattform ""SalesCoach"" für Vertrieb komplexer Industrieprodukte
• KI- und Algorithmus-gestützte Analyse von Anfragen/Anforderungsdokumenten
• Automatische Angebotserstellung, Zeitersparnis im Quotierungsprozess
• Integration mit CRM, CPQ, ERP, PIM
• Beratung, Modellierung und Implementierung";"Dr. Michael Klein, Sebastian Kaupp";"info@squareneo.de";"";"Impressum unter /impressum.html. Nur info-Adresse belegbar."
"STAT-UP Statistical Consulting & Data Science GmbH";"https://www.stat-up.com/";"Vielleicht";"• Beratung für Daten-, Statistik- und KI-Lösungen
• Eigene proprietäre Algorithmen (SOM-Engine), Synthetic Data Engine
• Risk/Impact Dashboards, Netzwerk- und Szenarioanalyse
• KI-Literacy-Schulungen und KI-Ethik (ARETICS)";"Dr. Katharina Schueller";"info@stat-up.com";"";"GF aus Impressum. Nur info-Adresse belegbar."
"statworx";"https://www.statworx.com/de/";"Vielleicht";"• Data- und KI-Beratung und -Entwicklung im DACH-Raum
• Strategie, Dateninfrastruktur/Engineering, maßgeschneiderte KI-Lösungen
• Produkte: CustomGPT-Plattform, Data Lakehouse Suite, AI-Act-Compliance
• Trainings und Upskilling; Partner von OpenAI, DataRobot";"Sebastian Heinz, Julius Heinz, Fabian Mueller";"info@statworx.com";"";"GF aus Impressum. Nur info-Adresse belegbar."
"Steen Digital GmbH";"https://www.steen-digital.de/";"Vielleicht";"• KI-Beratung für Prozessautomatisierung im Mittelstand
• Implementierung von KI-Agenten für dokumentenlastige Aufgaben
• Anwendungen: Auftragsabwicklung, Vertragsanalyse, Angebotserstellung
• Bedarfsanalyse, Standard- und individuelle KI-Lösungen";"Philip Steen";"hello@steen-digital.de; accounts@steen-digital.de";"";"GF aus Impressum. hello@ war Cloudflare-verschluesselt, dekodiert. Nur rollenbasierte Mails."
"Stephan Schott (Schott AI)";"https://schottai.com/";"Vielleicht";"• KI- und Softwareentwicklungsberatung (seit 2014)
• Individuelle KI- und Softwarelösungen
• Eigenes Tool CapaPlanner (Kapazitätsplanung)
• Kleiner Beratungs-/Entwicklungsanbieter";"";"";"";"Reine Client-side-SPA ohne serverseitigen Impressum-Inhalt; nichts belegbar extrahierbar (WebFetch 503)."
"Sub Capitals GmbH";"https://www.subcapitals.com/";"Ja";"• Münchner FinTech, ""AI as a Service"" für professionelle Investoren
• Eigene ML-/Deep-Learning-Modelle zur Risiko- und Handelsanalyse
• KI-Signale für Trading- und Hedging-Strategien
• Echtzeit-Portfolio-Risikomanagement";"Christoph Dichtl";"hello@subcapitals.com";"";"GF aus Impressum. Nur hello-Adresse belegbar."
"Sulzer GmbH";"https://www.sulzer.de/";"Vielleicht";"• IT-Beratung und digitale Transformation (seit 1978)
• Business-Analyse, Data & AI Services, IT-Modernisierung
• KI-gestütztes Wissensmanagement, Cloud/Hybrid
• Kunden: VW, Audi, Porsche, BASF, Allianz";"Dr. Michael Kraus";"";"";"GF aus Impressum. Keine E-Mail-Adresse im Impressum/Kontakt belegbar."
"SupraTix GmbH";"https://supratix.com/";"Vielleicht";"• Digitalisierungspartner mit Plattform- und KI-Lösungen
• Smart Learning und Smart Production Ecosystems, eigene KI-Algorithmen
• Tech-Stack: TensorFlow, PyTorch, Keras, scikit-learn
• 3D-Welten, Simulationen, Robotik- und Industrielösungen";"Dipl.-Ing. Tobias Goecke";"info@supratix.com";"";"GF aus Impressum. Nur info-Adresse belegbar."
"SUSI&James GmbH";"https://susiandjames.com/";"Ja";"• KI-gestützte digitale Mitarbeiter zur Prozessautomatisierung
• SmartOffice: Voice-AI für Telefonprozesse (24/7)
• Wissensmanagement und individuelle KI-Projekte
• TISAX-zertifiziert, DSGVO-konform, Fokus Automotive/Mittelstand";"Marcel Martini";"sales@susiandjames.com";"";"GF aus Impressum. Nur sales-Adresse belegbar (google/hubspot/defiant-Mails sind Drittanbieter, ausgeschlossen)."
"SygentiQ GmbH";"https://sygentiq.com/";"Vielleicht";"• Maßgeschneiderte KI- und Generative-AI-Lösungen
• Intelligente Automatisierung für Unternehmen
• Beratung und Workshops zu Enterprise AI
• DSGVO-konform, europäisches Hosting";"";"";"";"Client-side-SPA ohne serverseitigen Impressum-Inhalt; Meta-Autor nennt 'Sascha Sambale', aber nicht als GF im Impressum belegbar; keine Mail extrahierbar."
"Symanto Research GmbH & Co. KG";"https://www.symanto.com/";"Ja";"• Language AI: Analyse von Sprache, Emotionen und Motivationen
• Produkte: SymantoAssist, Insights, AI Accelerator
• Eigene Deep-Learning-Modelle, 80+ Forschungspapiere
• Kombination aus NLP, Psychologie und Business Intelligence";"Khaleeq Aziz";"info@symanto.com; compliance@symanto.com";"";"Managing Director aus Impressum. Nur rollenbasierte Mails (user@domain.com war Platzhalter, ausgeschlossen)."
"Symbiosika GmbH";"https://symbiosika.de/";"Ja";"• Entwickelt zweiarmigen Roboter ""KINAUT ONE"" (Made in Germany)
• Einsatz in Hotellerie und Altenpflege
• Natürliche Sprachinteraktion, Transport, Überwachung
• SaaS-Managementplattform, NVIDIA-Inception-Mitglied";"Bjoern Enders";"info@symbiosika.de";"";"GF aus Impressum. Nur info-Adresse belegbar."
"SYNAOS";"https://www.synaos.com/";"Vielleicht";"• All-in-One Intralogistik-Plattform für Materialflüsse
• Herstellerunabhängige Steuerung von AMRs/AGVs (VDA 5050)
• Echtzeit-Lokalisierung, Warehouse Execution, Digital Twin
• Kunden: VW, Schaeffler, ZF Group";"Dr. Wolfgang Hackenberg";"info@synaos.com";"";"Impressum unter /de/legal/impressum. Nur generische Mail, kein Muster/persoenliche Mail belegbar."
"synthavo GmbH";"https://synthavo.eu/";"Ja";"• 1-Klick-Ersatzteilidentifikation per Foto für Industrie
• Eigene Computer-Vision/ML zur Bauteilerkennung
• Automatisiertes Einlernen von Komponenten
• Integration in SAP, Salesforce, Oracle; deutsches Hosting";"Sebastian Stoecklmeier";"info@synthavo.de";"";"Vertreten durch Sebastian Stoecklmeier. Nur info@, kein Muster."
"syntik GmbH";"https://syntik.de/";"Vielleicht";"• KI- und Data-Science-Beratung für Industrieunternehmen
• Strategie, Schulung und maßgeschneiderte KI-Entwicklung
• Enterprise-GPT, Prognosen, Angebots-/Ausschreibungsautomatisierung
• Prozessoptimierung in Vertrieb, Einkauf, QA, Logistik";"Mert Erdogan";"info@syntik.de";"";"Nur info@, kein Muster."
"tagaia GmbH";"https://tagaia.de/";"Vielleicht";"• KI- und Datenberatung aus Bremen
• Projektrealisierung, Staff Augmentation und Consulting
• Aufbau/Stärkung von Datenteams im Mittelstand
• Implementierung von KI-/ML-Lösungen entlang der Wertschöpfungskette";"Jan Brusch, Danny Busch";"kontakt@tagaia.de; jobs@tagaia.de";"";"Impressum unter impressum_datenschutz.html. Nur generische Mails, kein Muster."
"taod Consulting GmbH";"https://taod.de/";"Vielleicht";"• Data-Analytics- und Strategieberatung (Köln, Stuttgart, Hamburg)
• BI-Dashboarding, Cloud-Data-Plattformen, IoT-Stream-Analytics
• Moderner Data Stack (Power BI, Snowflake, Azure, Databricks, dbt)
• KI-Services über Tochter taod.ai, Academy-Schulungen";"Simon Biela, Matthias Steinforth, Benedikt Stienen";"info@taod.de; simon.biela@taod.de";"simon.biela@taod.de";"Persoenliche GF-Mail des Simon Biela woertlich belegt. Muster vorname.nachname@ -> weitere GF: matthias.steinforth@taod.de, benedikt.stienen@taod.de (rekonstruiert)."
"TEDEXA GmbH";"https://www.tedexa.de/";"Vielleicht";"• KI-Beratung und Softwareentwicklung aus Mainz
• 360°-KI-Consulting: Strategie und Implementierung
• Individuelle Softwareentwicklung, Prozessautomatisierung
• Digitale Transformation für diverse Branchen";"Michael Darnieder (Geschaeftsfuehrender Gesellschafter)";"info@tedexa.de";"";"Impressum unter impressum.html. Nur info@, kein Muster."
"TekkMinds AG";"https://tekkminds.com/";"Vielleicht";"• Technologie-Consulting und Softwareentwicklung
• Cloud Engineering (AWS, Azure, Kubernetes)
• KI-Integration: LLMs, Custom Models, Predictive Analytics
• IoT/Edge-Computing, produktionsreife Lösungen";"Florian Oehlschlegel, Thimo Koenig (Management Board)";"info@tekkminds.com; info@tekkminds.ch";"";"Impressum unter /imprint/. Nur generische Mails, kein Muster."
"TEQYARD GmbH";"https://teqyard.de/";"Vielleicht";"• Technologieberatung und Softwareentwicklung, datengetrieben
• Data Analytics und produktionsreife KI-Lösungen (inkl. RAG)
• Individuelle Softwareentwicklung und Integrationen
• Digitalstrategie und KI-Strategie";"Bjoern Steffen";"info@teqyard.de";"";"Nur info@ (uebrige @sentry.wixpress.com sind Tracking-Platzhalter, keine echten Mails)."
"testbee GmbH (vorher: BeeInnovations GmbH)";"https://beeinnovations.ai/";"Vielleicht";"• Software-Qualitätssicherung aus Köln (seit 2018)
• Testautomatisierung, manuelles/Performance-/Security-Testing, QA-Beratung
• KI-Tool BeeAI: generiert Testfälle, User Stories, Bug Reports aus Text/Bild
• Nach Fusion mit BeeInnovations Fokus auf KI/ML-QA und -Beratung";"";"hello@testbee.io";"";"beeinnovations.ai nicht erreichbar; Firma erreichbar unter testbee.io (WordPress-Landingpage), aber kein Impressum/Team mit GF-Namen abrufbar. Nur hello@testbee.io belegt."
"TextVerstehen GmbH";"https://www.textverstehen.eu/";"Ja";"• KI-Unternehmen für automatische Wissensgraph-Erstellung
• SmartGraph Framework, Produkt-o-Bot Chatbot, REST API
• NLP-Beratung: Datenbereinigung, Normalisierung, Informationsextraktion
• Erstellung von Trainingsdaten und Optimierung von KI-Schnittstellen";"Dr. Sebastian Goeser (Verantwortlich, CEO/Founder)";"info@textverstehen.eu";"";"Impressum unter /imprint. Nur info@, kein Muster."
